"TRNS_TYPE","TRNS_DT","AMOUNT","WITHWHOM","DESCRIP","PAIDWITH","ADDRESS","KEYWORD1","KEYWORD2","KEYWORD3"
"E","06/14/2015",20.94,"SAINT LOUIS BREAD","Restaurant 
 ","AmExpress Visa","8191 STRAWBERRY LANE
FALLS CHURCH
VA","Restaurant",,
"E","06/15/2015",1.79,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/15/2015",59.15,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/16/2015",11.67,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/16/2015",29.05,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/20/2015",64.29,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/21/2015",11.64,"LOWE'S","Unknown","AmExpress Visa","40 MARKET ST
GAITHERSBURG
MD","Hardware",,
"E","06/21/2015",16.60,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/22/2015",37.16,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/24/2015",53.63,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/28/2015",52.01,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/29/2015",31.51,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","06/30/2015",31.94,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","07/03/2015",32.90,"WEGMANS","Groceries","AmExpress Visa","6789 EAST GENESEE ST
FAYETTEVILLE
NY","Groceries",,
"E","07/05/2015",4.43,"BURGER KING","Restaurant","AmExpress Visa","427 N CHURCH ST
THURMONT
MD","Restaurant",,
"E","07/06/2015",13.75,"WA NATIONALS","Restaurant","AmExpress Visa","1500 S CAPITOL ST SE
WASHINGTON
DC","Restaurant",,
"E","07/06/2015",4.85,"WA METRO ATA EXPRESS VDNR","Parking","AmExpress Visa","600 5TH ST NW
WASHINGTON
DC","Parking",,
"E","07/09/2015",65.83,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"I","07/09/2015",-100.00,"AMEX VISA","Cash Back","AmExpress Visa",,"Rebate",,
"E","07/10/2015",4.58,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/10/2015",13.47,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/13/2015",159.20,"CMS MEDICARE DATA FEE","Medicare","AmExpress Visa","7500 SECURITY BLVD
MSC N1-15-03
BALTIMORE
MD","Health Insurance",,
"E","07/13/2015",50.58,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/18/2015",67.14,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/19/2015",22.00,"AFC MOSAIC THEATER","Movies","AmExpress Visa","2911 DISTRICT AVE STE 200
FAIRFAX
VA","Movies",,
"E","07/19/2015",33.09,"OPEN ROAD","Restaurant","AmExpress Visa","8100 LEE HIGHWAY
FALLS CHRURCH
VA","Restaurant",,
"E","07/20/2015",36.86,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/21/2015",158.99,"VERIZON WRLS","SmartPhone","AmExpress Visa","472 N FREDERICK AVE
GAITHERSBURG
MD","Telephone",,
"E","07/22/2015",27.92,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/24/2015",26.18,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/24/2015",45.18,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/26/2015",12.28,"SAFEWAY","Groceries","AmExpress Visa","7397 LEE HWY
FALLS CHURCH
VA","Groceries",,
"E","07/28/2015",39.88,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","07/29/2015",9.09,"SAINT LOUIS BREAD","Restaurant","AmExpress Visa","8191 STRAWBERRY LANE
FALLS CHURCH
VA","Restaurant",,
"E","07/31/2015",20.68,"TOPS MARKETS","Groceries","AmExpress Visa","71 NELSON ST
CAZENOVIA
NY","Groceries",,
"E","08/03/2015",309.40,"WEGMANS","Groceries","AmExpress Visa","6789 EAST GENESEE ST
FAYETTEVILLE
NY","Groceries",,
"E","08/04/2015",14.08,"WEGMANS","Groceries","AmExpress Visa","4722 ONONDAGA BLVD
SYRACUSE
NY","Groceries",,
"E","08/06/2015",21.83,"TOPS MARKETS","Groceries","AmExpress Visa","71 NELSON ST
CAZENOVIA
NY","Groceries",,
"E","08/07/2015",14.22,"TOPS MARKETS","Groceries","AmExpress Visa","71 NELSON ST
CAZENOVIA
NY","Groceries",,
"E","08/08/2015",27.28,"SUN REFINING & MARKETTING","Gas","AmExpress Visa","PO BOX 2301
TULSA
OK","Gas",,
"E","08/11/2015",42.01,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","08/15/2015",57.47,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","08/18/2015",45.85,"WEGMANS","Groceries","AmExpress Visa","20600 SENECA MEADOWS PARKWAY
GERMANTOWN
MD","Groceries",,
"E","08/19/2015",9.28,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","08/22/2015",51.66,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","08/22/2015",29.43,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","08/23/2015",11.28,"GIANT 161","Groceries","AmExpress Visa","16837 CRABBS BRANCH WAY
DERWOOD
MD","Groceries",,
"E","08/26/2015",4.79,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","08/27/2015",28.22,"TOPS MARKETS","Groceries","AmExpress Visa","71 NELSON ST
CAZENOVIA
NY","Groceries",,
"E","08/30/2015",8.96,"DE RUYTER BIG M SUPERMARKET","Groceries","AmExpress Visa","413 STATE HWY 13
DE RUYTER
NY","Groceries",,
"E","09/03/2015",159.20,"CMS MEDICARE DATA FEE","Medicare","AmExpress Visa","7500 SECURITY BLVD
MSC N1-15-03
BALTIMORE
MD","Health Insurance",,
"E","09/03/2015",16.32,"P & C FOODS","Groceries","AmExpress Visa","164 CLINTON AVE
CORTLAND
NY","Groceries",,
"E","09/03/2015",86.55,"WEGMANS","Groceries","AmExpress Visa","20600 SENECA MEADOWS PARKWAY
GERMANTOWN
MD","Groceries",,
"E","09/05/2015",40.48,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/06/2015",65.98,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/07/2015",1.44,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/07/2015",15.18,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/07/2015",12.92,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/08/2015",31.12,"CRONIG'S MARKET S","Groceries","AmExpress Visa","109 STATE RD
VINEYARD HAVEN
MA","Groceries",,
"E","09/09/2015",55.02,"CRONIG'S MARKET S","Groceries","AmExpress Visa","109 STATE RD
VINEYARD HAVEN
MA","Groceries",,
"E","09/10/2015",159.20,"CMS MEDICARE DATA FEE","Medicare","AmExpress Visa","7500 SECURITY BLVD
MSC N1-15-03
BALTIMORE
MD","Health Insurance",,
"E","09/11/2015",32.61,"STOP & SHOP","Groceries","AmExpress Visa","225 UPPER MAIN ST
EDGARTOWN
MA","Groceries",,
"E","09/11/2015",9.15,"STOP&SHOP PHARMACY","Groceries","AmExpress Visa","245 EDGARTOWN VINEYARD H
EDGARTOWN
MA","Groceries",,
"E","09/12/2015",24.57,"STOP & SHOP","Groceries","AmExpress Visa","18 WATER ST
VINEYARD HAVEN
MA","Groceries",,
"E","09/13/2015",2.79,"STOP & SHOP","Groceries","AmExpress Visa","18 WATER ST
VINEYARD HAVEN
MA","Groceries",,
"E","09/16/2015",41.13,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/17/2015",22.33,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/17/2015",21.50,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/20/2015",18.64,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","09/21/2015",27.31,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/23/2015",15.60,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","09/24/2015",28.73,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/26/2015",11.49,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/27/2015",21.47,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/28/2015",17.59,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","09/30/2015",18.58,"GIANT 368","Groceries","AmExpress Visa","842 MUDDY BRANCH RD
GAITHERSBURG
MD","Groceries",,
"E","10/01/2015",32.64,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/04/2015",40.58,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/06/2015",47.72,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/10/2015",74.31,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/11/2015",32.34,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"I","10/14/2015",-5.00,"WEGMANS","Refund","AmExpress Visa","20600 SENECA MEADOWS PARKWAY
GERMANTOWN
MD","Groceries",,
"E","10/14/2015",67.28,"WEGMANS","Groceries","AmExpress Visa","20600 SENECA MEADOWS PARKWAY
GERMANTOWN
MD","Groceries",,
"E","10/17/2015",31.87,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/17/2015",28.01,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/21/2015",54.58,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/24/2015",66.10,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/28/2015",21.49,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/29/2015",17.76,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","10/31/2015",52.74,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/04/2015",60.45,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/09/2015",19.61,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/09/2015",22.98,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/10/2015",36.36,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/12/2015",37.83,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/17/2015",22.90,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/18/2015",69.02,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/22/2015",27.59,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/23/2015",49.31,"AMAZON.COM","Unknown","AmExpress Visa","1516 2ND AVE
SEATTLE
WA","Unknown",,
"E","11/25/2015",69.17,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","11/27/2015",34.65,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/04/2015",85.64,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/05/2015",44.43,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/11/2015",17.02,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","12/14/2015",24.18,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/15/2015",30.30,"LOTTE PLAZA","Groceries","AmExpress Visa","221 MUDDY BRANCH RD
GAITHERSBURG
MD","Groceries",,
"E","12/16/2015",24.93,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/17/2015",76.39,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/18/2015",27.58,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/19/2015",27.99,"AMAZON MARKEPLACE","Books","AmExpress Visa","440 TERRY AVE N
SEATTLE
WA","Books",,
"E","12/19/2015",50.78,"AMAZON MARKEPLACE","Books","AmExpress Visa","440 TERRY AVE N
SEATTLE
WA","Books",,
"I","12/20/2015",-15.00,"AMAZON.COM","Rebate","AmExpress Visa","1516 2ND AVE
SEATTLE
WA","Rebate",,
"E","12/20/2015",10.58,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/22/2015",36.19,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/23/2015",36.14,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/24/2015",35.16,"HARRIS TEETER","Groceries","AmExpress Visa","14101 DARNESTOWN RD
DARNESTOWN
MD","Groceries",,
"E","12/27/2015",9.68,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","12/30/2015",49.86,"GIANT FOOD","Groceries","AmExpress Visa","LOEHMANNS PLAZA 7249
FALLS CHURCH
VA","Groceries",,
"E","12/30/2015",6.51,"SAINT LOUIS BREAD","Restaurant","AmExpress Visa","8191 STRAWBERRY LANE
FALLS CHURCH
VA","Restaurant",,
"E","12/31/2015",34.97,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
